Uniprot_AC	nb_obs
Q9H0B8	1
P29622	47
Q96CN7	1
Q86UN3	66
Q96NZ9	3
P10645	17
P06702	199
P10646	8
P10643	116
O95747	4
P01833	3069
P01834	5997
P16422	1
Q7Z3E5	4
P37235	3
A6NNZ2	61
P13591	54
P69905	1207
P13598	63
P30519	2
Q9Y6R7	44
P42765	5
Q5T6J7	2
P05062	578
P05060	4
Q9C0K7	4
P51606	7
Q6Q788	7
Q7Z4R8	9
Q8N5I2	5
Q15833	37
Q13823	5
Q13822	16
Q08623	1
P17066	137
Q08629	2
Q15831	3
P29279	25
Q96I82	1
Q01813	2
Q9UDW1	1
Q00610	77
P29508	287
Q9TNN7	16
O95336	248
O60814	60
Q9BVM4	56
Q9Y2T3	7
Q9UJ68	2
O15240	12
P01714	47
P01716	1
Q15375	22
P03973	6
P07478	18
Q9Y617	11
P07476	26
P07477	16
P09543	68
Q9UGM3	1
P01130	15
P08637	147
Q92734	1
Q9UGM5	5
P00846	1
P18669	95
P20138	10
P00533	2
Q9BXP8	87
Q13103	6
P17927	88
P0C7H8	3
Q5VVQ6	1
P01009	2761
O43920	2
P02753	2438
P08709	5
P29692	2
P02763	1308
P08034	2
O75390	5
P01229	2
O75396	2
P28908	2
Q8TE68	27
P18124	5
O75882	500
Q96P63	26
Q99983	15
Q9BSJ8	1
Q6EMK4	1945
P62701	5
Q99988	28
P18065	104
P68431	24
O75955	26
P17858	22
Q15109	4
Q15198	1
P00441	110
O75084	4
O75083	19
Q9NPG4	12
O94973	1
Q06830	110
P14174	32
Q9H190	3
Q12923	8
P04746	3350
Q14134	2
P28838	7
P62633	3
P10109	1
Q2UY09	5
P52735	5
P46783	2
P46782	2
P46781	1
O43653	78
P54803	9
O43657	2
Q8N386	1
Q5T2Q4	1
O94808	3
Q6P4A8	2
Q99456	296
Q9H223	22
P19440	224
P01706	5
P06870	338
Q13228	84
Q15848	10
P11217	5
P11216	6
Q14002	1
P40939	19
Q8NCW5	5
P20827	7
P0C0L5	1008
Q7Z6L0	1
Q9NY72	1
Q5VY43	4
O43324	1
P31943	4
Q99523	7
P31947	138
P31946	162
P31944	41
O15400	3
P31949	70
Q8NB37	2
A6NMX2	1
P61604	4
P63151	4
P17213	1
Q14914	97
B1AH90	8
Q9UJU6	4
P60953	173
E7EX88	73
P06454	13
P61421	8
Q8IUL8	84
P48047	11
P32942	1
P38606	58
P09936	2
Q7L7X3	2
Q9BS26	4
Q9BPX5	4
P50895	110
Q13740	5
P50897	42
Q9UN70	61
Q9UN72	1
Q9NYL9	1
O95757	1
Q07507	180
P16452	4
Q6UY11	9
P55103	6
Q15517	1
P80511	1
Q9NS93	1
Q99685	2
Q9C0J9	3
P10586	8
P38159	2
Q06495	1
Q10589	3
Q10588	22
P56159	1
Q9Y281	65
Q9Y287	145
O00264	1
P53618	1
P08865	15
P33947	12
Q9Y2E5	55
P08861	1
O75348	7
P55287	155
P55285	24
Q02241	1
P13760	4
P78368	1
P78369	1
O00499	2
Q9NRX4	55
P09488	15
P27918	1
P05120	1
P09486	19
P10451	1000
P60174	334
P47755	22
Q9Y334	2
P43234	2
O00462	28
P01721	21
Q495M3	14
P45880	49
P57735	6
Q9Y4D7	2
P28482	26
P08603	105
P28332	2
P28331	7
P62820	115
P62826	14
P01589	1
Q6W4X9	11
P29992	68
O95980	3
P17661	15
P02743	67
P02741	4
O15198	1
O95297	2
P01031	28
P02749	1442
P02748	42
P01034	304
P01036	10
Q9H1C7	10
P01210	11
O95967	63
Q8TCD5	42
Q92616	1
Q9UKX3	12
Q6YHK3	1
P08519	119
O95968	1
O95969	1
P18054	21
P62736	673
O60701	1
P15531	15
Q14344	39
P42785	207
Q9NRV9	3
Q86T13	65
P06331	57
O75964	3
P68400	1
P00450	1248
Q08380	2855
Q8NBF2	1
Q15836	8
P48304	147
P68371	275
P69849	1
Q9NPH3	4
Q7Z5G4	1
P33151	15
P61960	2
P08195	139
