path:mmu04625	C-type lectin receptor signaling pathway - Mus musculus (mouse)
path:mmu04630	Jak-STAT signaling pathway - Mus musculus (mouse)
path:mmu04640	Hematopoietic cell lineage - Mus musculus (mouse)
path:mmu04650	Natural killer cell mediated cytotoxicity - Mus musculus (mouse)
path:mmu04657	IL-17 signaling pathway - Mus musculus (mouse)
path:mmu04658	Th1 and Th2 cell differentiation - Mus musculus (mouse)
path:mmu04659	Th17 cell differentiation - Mus musculus (mouse)
path:mmu04660	T cell receptor signaling pathway - Mus musculus (mouse)
path:mmu04662	B cell receptor signaling pathway - Mus musculus (mouse)
path:mmu04664	Fc epsilon RI signaling pathway - Mus musculus (mouse)
path:mmu04666	Fc gamma R-mediated phagocytosis - Mus musculus (mouse)
path:mmu04668	TNF signaling pathway - Mus musculus (mouse)
path:mmu04670	Leukocyte transendothelial migration - Mus musculus (mouse)
path:mmu04672	Intestinal immune network for IgA production - Mus musculus (mouse)
path:mmu04710	Circadian rhythm - Mus musculus (mouse)
path:mmu04713	Circadian entrainment - Mus musculus (mouse)
path:mmu04714	Thermogenesis - Mus musculus (mouse)
path:mmu04720	Long-term potentiation - Mus musculus (mouse)
path:mmu04721	Synaptic vesicle cycle - Mus musculus (mouse)
path:mmu04722	Neurotrophin signaling pathway - Mus musculus (mouse)
path:mmu04723	Retrograde endocannabinoid signaling - Mus musculus (mouse)
path:mmu04724	Glutamatergic synapse - Mus musculus (mouse)
path:mmu04725	Cholinergic synapse - Mus musculus (mouse)
path:mmu04726	Serotonergic synapse - Mus musculus (mouse)
path:mmu04727	GABAergic synapse - Mus musculus (mouse)
path:mmu04728	Dopaminergic synapse - Mus musculus (mouse)
path:mmu04730	Long-term depression - Mus musculus (mouse)
path:mmu04740	Olfactory transduction - Mus musculus (mouse)
path:mmu04742	Taste transduction - Mus musculus (mouse)
path:mmu04744	Phototransduction - Mus musculus (mouse)
path:mmu04750	Inflammatory mediator regulation of TRP channels - Mus musculus (mouse)
path:mmu04810	Regulation of actin cytoskeleton - Mus musculus (mouse)
path:mmu04910	Insulin signaling pathway - Mus musculus (mouse)
path:mmu04911	Insulin secretion - Mus musculus (mouse)
path:mmu04912	GnRH signaling pathway - Mus musculus (mouse)
path:mmu04913	Ovarian steroidogenesis - Mus musculus (mouse)
path:mmu04914	Progesterone-mediated oocyte maturation - Mus musculus (mouse)
path:mmu04915	Estrogen signaling pathway - Mus musculus (mouse)
path:mmu04916	Melanogenesis - Mus musculus (mouse)
path:mmu04917	Prolactin signaling pathway - Mus musculus (mouse)
path:mmu04918	Thyroid hormone synthesis - Mus musculus (mouse)
path:mmu04919	Thyroid hormone signaling pathway - Mus musculus (mouse)
path:mmu04920	Adipocytokine signaling pathway - Mus musculus (mouse)
path:mmu04921	Oxytocin signaling pathway - Mus musculus (mouse)
path:mmu04922	Glucagon signaling pathway - Mus musculus (mouse)
path:mmu04923	Regulation of lipolysis in adipocytes - Mus musculus (mouse)
path:mmu04924	Renin secretion - Mus musculus (mouse)
path:mmu04925	Aldosterone synthesis and secretion - Mus musculus (mouse)
path:mmu04926	Relaxin signaling pathway - Mus musculus (mouse)
path:mmu04927	Cortisol synthesis and secretion - Mus musculus (mouse)
path:mmu04928	Parathyroid hormone synthesis, secretion and action - Mus musculus (mouse)
path:mmu04930	Type II diabetes mellitus - Mus musculus (mouse)
path:mmu04931	Insulin resistance - Mus musculus (mouse)
path:mmu04932	Non-alcoholic fatty liver disease (NAFLD) - Mus musculus (mouse)
path:mmu04933	AGE-RAGE signaling pathway in diabetic complications - Mus musculus (mouse)
path:mmu04934	Cushing's syndrome - Mus musculus (mouse)
path:mmu04940	Type I diabetes mellitus - Mus musculus (mouse)
path:mmu04950	Maturity onset diabetes of the young - Mus musculus (mouse)
path:mmu04960	Aldosterone-regulated sodium reabsorption - Mus musculus (mouse)
path:mmu04961	Endocrine and other factor-regulated calcium reabsorption - Mus musculus (mouse)
path:mmu04962	Vasopressin-regulated water reabsorption - Mus musculus (mouse)
path:mmu04964	Proximal tubule bicarbonate reclamation - Mus musculus (mouse)
path:mmu04966	Collecting duct acid secretion - Mus musculus (mouse)
path:mmu04970	Salivary secretion - Mus musculus (mouse)
path:mmu04971	Gastric acid secretion - Mus musculus (mouse)
path:mmu04972	Pancreatic secretion - Mus musculus (mouse)
path:mmu04973	Carbohydrate digestion and absorption - Mus musculus (mouse)
path:mmu04974	Protein digestion and absorption - Mus musculus (mouse)
path:mmu04975	Fat digestion and absorption - Mus musculus (mouse)
path:mmu04976	Bile secretion - Mus musculus (mouse)
path:mmu04977	Vitamin digestion and absorption - Mus musculus (mouse)
path:mmu04978	Mineral absorption - Mus musculus (mouse)
path:mmu04979	Cholesterol metabolism - Mus musculus (mouse)
path:mmu05010	Alzheimer's disease - Mus musculus (mouse)
path:mmu05012	Parkinson's disease - Mus musculus (mouse)
path:mmu05014	Amyotrophic lateral sclerosis (ALS) - Mus musculus (mouse)
path:mmu05016	Huntington's disease - Mus musculus (mouse)
path:mmu05020	Prion diseases - Mus musculus (mouse)
path:mmu05030	Cocaine addiction - Mus musculus (mouse)
path:mmu05031	Amphetamine addiction - Mus musculus (mouse)
path:mmu05032	Morphine addiction - Mus musculus (mouse)
path:mmu05033	Nicotine addiction - Mus musculus (mouse)
path:mmu05034	Alcoholism - Mus musculus (mouse)
path:mmu05100	Bacterial invasion of epithelial cells - Mus musculus (mouse)
