NX_A4D0T7 	IPI00844352
NX_A4D0T7 	IPI00903087
NX_A4D0V7 	IPI00290995
NX_A4D0V7 	IPI00412991
NX_A4D0Y5 	IPI00081562
NX_A4D126 	IPI00894461
NX_A4D161 	IPI00395803
NX_A4D161 	IPI00852812
NX_A4D161 	IPI00853231
NX_A4D174 	IPI00807649
NX_A4D1B5 	IPI00871629
NX_A4D1B5 	IPI00893006
NX_A4D1B5 	IPI00894268
NX_A4D1B5 	IPI01013779
NX_A4D1E1 	IPI00328308
NX_A4D1E9 	IPI00167638
NX_A4D1E9 	IPI00217526
NX_A4D1E9 	IPI00552355
NX_A4D1F6 	IPI00887636
NX_A4D1F6 	IPI00935774
NX_A4D1N5 	IPI00167349
NX_A4D1P6 	IPI00302965
NX_A4D1P6 	IPI00477281
NX_A4D1P6 	IPI00879760
NX_A4D1S0 	IPI00394851
NX_A4D1S0 	IPI00719758
NX_A4D1S5 	IPI00478209
NX_A4D1S5 	IPI00923598
NX_A4D1T9 	IPI00555974
NX_A4D1U4 	IPI00401193
NX_A4D1Z8 	IPI00455031
NX_A4D250 	IPI01022128
NX_A4D256 	IPI00402094
NX_A4D263 	IPI00887869
NX_A4D2B0 	IPI00926544
NX_A4D2B8 	IPI00477733
NX_A4D2B8 	IPI00871484
NX_A4D2B8 	IPI00953669
NX_A4D2G3 	IPI00398221
NX_A4D2H0 	IPI00030542
NX_A4D2P6 	IPI00890736
NX_A4FU01 	IPI00009141
NX_A4FU01 	IPI00376863
NX_A4FU01 	IPI00892941
NX_A4FU01 	IPI00894131
NX_A4FU01 	IPI00894262
NX_A4FU01 	IPI00915025
NX_A4FU28 	IPI00740858
NX_A4FU49 	IPI00395985
NX_A4FU49 	IPI00893644
NX_A4FU49 	IPI01008835
NX_A4FU49 	IPI01008859
NX_A4FU69 	IPI00394857
NX_A4FU69 	IPI00791236
NX_A4FU69 	IPI00874210
NX_A4FU69 	IPI00879363
NX_A4FU69 	IPI00913929
NX_A4GXA9 	IPI00174440
NX_A4GXA9 	IPI00885210
NX_A4IF30 	IPI00845268
NX_A4IF30 	IPI00876988
NX_A4QMS7 	IPI00782948
NX_A4QN01 	IPI00642266
NX_A4QPB2 	IPI00018681
NX_A4QPB2 	IPI00852688
NX_A4QPH2 	IPI00456476
NX_A4QPH2 	IPI00871913
NX_A4QPH2 	IPI00885008
NX_A4UGR9 	IPI00167400
NX_A4UGR9 	IPI00550232
NX_A4UGR9 	IPI00885004
NX_A4UGR9 	IPI00893002
NX_A4UGR9 	IPI00915318
NX_A4UGR9 	IPI00915341
NX_A4UGR9 	IPI01015807
NX_A5A3E0 	IPI00739539
NX_A5D6W6 	IPI00402145
NX_A5D6W6 	IPI00884939
NX_A5D8T8 	IPI00887415
NX_A5D8T8 	IPI00888010
NX_A5D8V6 	IPI00401773
NX_A5D8V7 	IPI00072644
NX_A5D8W1 	IPI00015625
NX_A5D8W1 	IPI00411697
NX_A5D8W1 	IPI00878723
NX_A5D8W1 	IPI00885044
NX_A5D8W1 	IPI00922566
NX_A5LHX3 	IPI00051808
NX_A5PKW4 	IPI00217012
NX_A5PKW4 	IPI00884984
NX_A5PL33 	IPI00162207
NX_A5PL33 	IPI00183331
NX_A5PL33 	IPI00855982
NX_A5PL33 	IPI00977239
NX_A5PLK6 	IPI00031058
NX_A5PLK6 	IPI00104396
NX_A5PLK6 	IPI00871887
NX_A5PLK6 	IPI00902436
NX_A5PLK6 	IPI00902598
NX_A5PLK6 	IPI00902937
NX_A5PLL1 	IPI00464959
NX_A5PLL7 	IPI00454991
NX_A5PLN7 	IPI00514627
NX_A5PLN7 	IPI00784404
NX_A5PLN7 	IPI00885141
NX_A5PLN7 	IPI00885173
NX_A5PLN9 	IPI00847958
NX_A5PLN9 	IPI00848035
NX_A5PLN9 	IPI00872709
NX_A5PLN9 	IPI00884972
NX_A5PLN9 	IPI00885084
NX_A5X5Y0 	IPI00376255
NX_A5X5Y0 	IPI00876853
NX_A5X5Y0 	IPI00877063
NX_A5X5Y0 	IPI00877086
NX_A5X5Y0 	IPI00877142
NX_A5YKK6 	IPI00166010
NX_A5YKK6 	IPI00410157
NX_A5YKK6 	IPI00642900
NX_A5YKK6 	IPI00880052
NX_A5YM69 	IPI00419046
NX_A5YM72 	IPI00847271
NX_A5YM72 	IPI00889615
NX_A5YM72 	IPI00942719
NX_A6BM72 	IPI00064606
NX_A6BM72 	IPI00432703
NX_A6BM72 	IPI00796004
NX_A6BM72 	IPI00872029
NX_A6H8M9 	IPI00397966
NX_A6H8M9 	IPI00397967
NX_A6H8Y1 	IPI00470932
NX_A6H8Y1 	IPI00760877
NX_A6H8Y1 	IPI00872938
NX_A6H8Y1 	IPI00893156
NX_A6H8Y1 	IPI00893272
NX_A6H8Y1 	IPI00893280
NX_A6H8Y1 	IPI00893915
NX_A6H8Y1 	IPI00894056
NX_A6H8Z2 	IPI00514992
NX_A6H8Z2 	IPI00874078
NX_A6H8Z2 	IPI00923599
NX_A6NC05 	IPI00455619
NX_A6NC42 	IPI00257112
NX_A6NC51 	IPI00174908
NX_A6NC57 	IPI00247110
NX_A6NC57 	IPI00888032
NX_A6NC57 	IPI00969481
NX_A6NC62 	IPI00965849
NX_A6NC78 	IPI00798221
NX_A6NC86 	IPI00983701
NX_A6NC97 	IPI00057620
NX_A6NC98 	IPI00031029
NX_A6NC98 	IPI00384080
NX_A6NC98 	IPI00395716
NX_A6NC98 	IPI00398837
NX_A6NC98 	IPI00884966
NX_A6NC98 	IPI00885054
NX_A6NCC3 	IPI00479557
NX_A6NCC3 	IPI00966593
NX_A6NCD4 	IPI00164170
NX_A6NCE7 	IPI00151462
NX_A6NCF5 	IPI00887935
NX_A6NCF6 	IPI00455971
NX_A6NCI4 	IPI00431403
NX_A6NCI4 	IPI00740853
NX_A6NCI4 	IPI00785000
NX_A6NCI4 	IPI00887672
NX_A6NCI5 	IPI00647756
NX_A6NCI8 	IPI00397889
NX_A6NCJ1 	IPI00455371
NX_A6NCK2 	IPI00335269
NX_A6NCL1 	IPI00741960
NX_A6NCL2 	IPI00740275
NX_A6NCL7 	IPI00235708
NX_A6NCM1 	IPI00248639
NX_A6NCN2 	IPI00008669
NX_A6NCN2 	IPI00910810
NX_A6NCN8 	IPI00743350
NX_A6NCQ9 	IPI00375992
NX_A6NCS4 	IPI00887927
NX_A6NCS6 	IPI00921293
NX_A6NCV1 	IPI00470600
NX_A6NCW0 	IPI00736169
NX_A6NCW3 	IPI00743430
NX_A6NCW7 	IPI00739049
NX_A6ND01 	IPI00375752
NX_A6ND01 	IPI00939736
NX_A6ND36 	IPI00419166
NX_A6ND36 	IPI00854824
NX_A6ND48 	IPI00470370
NX_A6ND91 	IPI00419903
NX_A6ND91 	IPI00783370
NX_A6NDA9 	IPI01015843
NX_A6NDB9 	IPI00247674
NX_A6NDD5 	IPI00161093
NX_A6NDE4 	IPI00479500
NX_A6NDE8 	IPI00645726
NX_A6NDG6 	IPI00177008
NX_A6NDH6 	IPI00470611
NX_A6NDI0 	IPI00220591
NX_A6NDK9 	IPI00455256
NX_A6NDL7 	IPI00186395
NX_A6NDL8 	IPI01022637
NX_A6NDN3 	IPI00719732
NX_A6NDN8 	IPI00398925
NX_A6NDP7 	IPI00161380
NX_A6NDR6 	IPI00747084
NX_A6NDS4 	IPI00748211
NX_A6NDU8 	IPI00374272
NX_A6NDV4 	IPI00415061
NX_A6NDV4 	IPI00513780
NX_A6NDV4 	IPI00894263
NX_A6NDX4 	IPI00472348
NX_A6NDX5 	IPI00335409
NX_A6NDY0 	IPI00375983
NX_A6NDY0 	IPI00854628
NX_A6NDY0 	IPI00942797
NX_A6NDY0 	IPI01021917
NX_A6NDY2 	IPI00455824
NX_A6NDZ8 	IPI00742016
NX_A6NE01 	IPI00241802
NX_A6NE02 	IPI00373911
NX_A6NE21 	IPI00737624
NX_A6NE52 	IPI00377122
NX_A6NE52 	IPI00640715
NX_A6NE82 	IPI00515051
NX_A6NEC2 	IPI00455333
NX_A6NEC2 	IPI00902662
NX_A6NEC2 	IPI01010691
NX_A6NED2 	IPI00399158
NX_A6NEE1 	IPI00401834
NX_A6NEF3 	IPI00968258
NX_A6NEH6 	IPI00921285
NX_A6NEH8 	IPI00174164
NX_A6NEK1 	IPI00643956
NX_A6NEL2 	IPI00234154
NX_A6NEL3 	IPI00332754
NX_A6NEM1 	IPI00719646
NX_A6NEM1 	IPI00787094
NX_A6NEN9 	IPI00088847
NX_A6NEQ0 	IPI00472030
NX_A6NEQ2 	IPI00217625
NX_A6NER0 	IPI00472526
NX_A6NER3 	IPI00336105
NX_A6NES4 	IPI00216817
NX_A6NET4 	IPI00470612
NX_A6NEV1 	IPI00745636
NX_A6NEW6 	IPI00455821
NX_A6NEY3 	IPI00871321
NX_A6NEY8 	IPI00106145
NX_A6NF01 	IPI00748446
NX_A6NF34 	IPI00854623
NX_A6NF36 	IPI00246556
NX_A6NF83 	IPI00923482
NX_A6NF89 	IPI00470601
NX_A6NFA0 	IPI00829857
NX_A6NFA1 	IPI00397764
NX_A6NFC5 	IPI00976859
NX_A6NFC5 	IPI00982730
NX_A6NFC5 	IPI01009682
NX_A6NFC9 	IPI00464971
NX_A6NFD8 	IPI00398093
NX_A6NFD8 	IPI00896528
NX_A6NFE2 	IPI00243275
NX_A6NFE3 	IPI00056475
NX_A6NFF2 	IPI00640963
NX_A6NFH5 	IPI00477693
NX_A6NFI3 	IPI00760941
NX_A6NFK2 	IPI00740470
NX_A6NFN3 	IPI00908333
NX_A6NFN9 	IPI00908321
NX_A6NFQ2 	IPI00293161
NX_A6NFQ2 	IPI00783877
NX_A6NFQ7 	IPI00556337
NX_A6NFR6 	IPI00741968
NX_A6NFR6 	IPI00896432
NX_A6NFR6 	IPI00955784
NX_A6NFR6 	IPI01017979
NX_A6NFT4 	IPI00374450
NX_A6NFU0 	IPI00373900
NX_A6NFU8 	IPI00856095
NX_A6NFX1 	IPI00397876
NX_A6NFY4 	IPI00400964
NX_A6NFY7 	IPI00642491
NX_A6NFZ4 	IPI00054598
NX_A6NG13 	IPI00738944
NX_A6NGA9 	IPI00250368
NX_A6NGB0 	IPI00935502
NX_A6NGB7 	IPI00888997
NX_A6NGB9 	IPI00032939
NX_A6NGC4 	IPI00397600
NX_A6NGD5 	IPI00247125
NX_A6NGE4 	IPI00046804
NX_A6NGE7 	IPI00161055
NX_A6NGG3 	IPI00644083
NX_A6NGG3 	IPI00647376
NX_A6NGG8 	IPI00397879
NX_A6NGH7 	IPI00745628
NX_A6NGH8 	IPI00062735
NX_A6NGJ6 	IPI00051170
NX_A6NGK3 	IPI00642235
NX_A6NGN4 	IPI00984400
NX_A6NGN9 	IPI00455667
NX_A6NGQ2 	IPI00455726
NX_A6NGR9 	IPI00741030
NX_A6NGS2 	IPI00744195
NX_A6NGU5 	IPI00788054
NX_A6NGU7 	IPI00641001
NX_A6NGU7 	IPI00889536
NX_A6NGW2 	IPI00740650
NX_A6NGY1 	IPI00175122
NX_A6NGY3 	IPI00398055
NX_A6NGY5 	IPI00160814
NX_A6NGZ8 	IPI00089199
NX_A6NH00 	IPI00457030
NX_A6NH11 	IPI00373867
NX_A6NH13 	IPI00639796
NX_A6NH21 	IPI00415008
NX_A6NH21 	IPI00871375
NX_A6NH52 	IPI00176983
NX_A6NH57 	IPI00376097
NX_A6NHA9 	IPI00050342
NX_A6NHC0 	IPI00874238
NX_A6NHG4 	IPI00472043
NX_A6NHG9 	IPI00874207
NX_A6NHJ4 	IPI00455569
NX_A6NHL2 	IPI00015671
NX_A6NHL2 	IPI00879904
NX_A6NHM9 	IPI00783676
NX_A6NHN0 	IPI00477692
NX_A6NHN6 	IPI00815728
NX_A6NHP3 	IPI00941436
NX_A6NHP3 	IPI00964912
NX_A6NHQ2 	IPI00235647
NX_A6NHQ4 	IPI00246649
NX_A6NHR8 	IPI00414228
NX_A6NHR9 	IPI00465022
NX_A6NHR9 	IPI00645162
NX_A6NHR9 	IPI00890837
NX_A6NHS1 	IPI00480089
NX_A6NHS7 	IPI00929141
NX_A6NHT5 	IPI00869203
NX_A6NHX0 	IPI00921468
NX_A6NHY2 	IPI00376587
NX_A6NHY6 	IPI00479588
NX_A6NHZ5 	IPI00398024
NX_A6NI03 	IPI00739890
NX_A6NI15 	IPI00247733
NX_A6NI28 	IPI00902744
NX_A6NI47 	IPI00479559
NX_A6NI56 	IPI00477128
NX_A6NI61 	IPI00374559
NX_A6NI72 	IPI00375156
NX_A6NI73 	IPI00158145
NX_A6NI73 	IPI00375191
NX_A6NI73 	IPI00375192
NX_A6NI73 	IPI00376865
NX_A6NI79 	IPI00410093
NX_A6NI86 	IPI00896524
NX_A6NI87 	IPI00740400
NX_A6NIE6 	IPI00177929
NX_A6NIE9 	IPI00402189
NX_A6NIH7 	IPI00414629
NX_A6NIJ5 	IPI00455827
NX_A6NIJ9 	IPI00470605
NX_A6NIK2 	IPI00375742
NX_A6NIL9 	IPI00185763
NX_A6NIM6 	IPI00413216
NX_A6NIN4 	IPI00807373
NX_A6NIR3 	IPI00413998
NX_A6NIU2 	IPI00478675
NX_A6NIV6 	IPI00233524
NX_A6NIX2 	IPI00787845
NX_A6NIY4 	IPI00455003
NX_A6NIZ1 	IPI00412525
NX_A6NJ08 	IPI00176592
NX_A6NJ46 	IPI00065178
NX_A6NJ46 	IPI00784472
NX_A6NJ64 	IPI00888953
NX_A6NJ69 	IPI00103331
NX_A6NJ78 	IPI00384389
NX_A6NJ78 	IPI00641281
NX_A6NJ78 	IPI00654846
NX_A6NJ78 	IPI00783001
NX_A6NJ88 	IPI00455967
NX_A6NJB7 	IPI00413916
NX_A6NJB7 	IPI00890817
NX_A6NJG2 	IPI00232862
NX_A6NJG6 	IPI00385762
NX_A6NJI1 	IPI00157941
NX_A6NJI9 	IPI00893757
NX_A6NJJ6 	IPI00413489
NX_A6NJL1 	IPI00247123
NX_A6NJQ4 	IPI00455822
NX_A6NJR5 	IPI00788297
NX_A6NJT0 	IPI00894170
NX_A6NJU9 	IPI00745744
NX_A6NJV1 	IPI00513897
NX_A6NJW4 	IPI00746770
NX_A6NJW9 	IPI00150282
NX_A6NJY1 	IPI00737110
NX_A6NJY4 	IPI00745278
NX_A6NJZ3 	IPI00470614
NX_A6NJZ7 	IPI00719269
NX_A6NK02 	IPI00398090
NX_A6NK06 	IPI00244043
NX_A6NK44 	IPI00376819
NX_A6NK53 	IPI00479597
NX_A6NK58 	IPI00398926
NX_A6NK59 	IPI00783530
NX_A6NK59 	IPI00940847
NX_A6NK59 	IPI00977209
NX_A6NK75 	IPI00472374
NX_A6NK89 	IPI00049961
NX_A6NK97 	IPI00418585
NX_A6NK97 	IPI00783068
NX_A6NKB5 	IPI00015501
NX_A6NKB5 	IPI00186853
NX_A6NKB5 	IPI00514056
NX_A6NKB5 	IPI00893561
NX_A6NKB5 	IPI00902808
NX_A6NKC0 	IPI00853349
NX_A6NKC9 	IPI00079683
NX_A6NKD2 	IPI00479931
NX_A6NKD9 	IPI00657798
NX_A6NKF1 	IPI00854724
NX_A6NKF1 	IPI00923502
NX_A6NKF2 	IPI00062225
NX_A6NKF7 	IPI00737941
NX_A6NKG5 	IPI00375947
NX_A6NKG5 	IPI00739343
NX_A6NKH3 	IPI00477215
NX_A6NKK0 	IPI00470569
NX_A6NKL6 	IPI00657819
NX_A6NKN8 	IPI00181706
NX_A6NKP2 	IPI00396920
NX_A6NKQ9 	IPI00844271
NX_A6NKQ9 	IPI00896513
NX_A6NKT7 	IPI00921207
NX_A6NKU9 	IPI00925329
NX_A6NKU9 	IPI00940692
NX_A6NKW6 	IPI00737348
NX_A6NKX1 	IPI00479478
NX_A6NKX4 	IPI00373862
NX_A6NL05 	IPI00410565
NX_A6NL08 	IPI00470603
NX_A6NL26 	IPI00140509
NX_A6NL46 	IPI00739552
NX_A6NL82 	IPI00869340
NX_A6NL88 	IPI00917604
NX_A6NL99 	IPI00878464
NX_A6NLC5 	IPI00176169
NX_A6NLC8 	IPI00178311
NX_A6NLE4 	IPI00455659
NX_A6NLF2 	IPI00741046
NX_A6NLI5 	IPI00888634
NX_A6NLJ0 	IPI00514369
NX_A6NLP5 	IPI00163879
NX_A6NLU0 	IPI00888946
NX_A6NLU5 	IPI00247243
NX_A6NLW8 	IPI00556392
NX_A6NLX3 	IPI00373871
NX_A6NLX4 	IPI00374552
NX_A6NM03 	IPI00232021
NX_A6NM10 	IPI00856090
NX_A6NM10 	IPI00889507
NX_A6NM11 	IPI00334362
NX_A6NM15 	IPI00887061
NX_A6NM28 	IPI00047476
NX_A6NM36 	IPI00246654
NX_A6NM43 	IPI00045628
NX_A6NM45 	IPI00967105
NX_A6NM62 	IPI00252944
NX_A6NM66 	IPI00234948
NX_A6NM76 	IPI00399342
NX_A6NMA1 	IPI00747445
NX_A6NMB1 	IPI01018896
NX_A6NMB9 	IPI00783444
NX_A6NMD0 	IPI00658050
NX_A6NMD2 	IPI00742083
NX_A6NMK7 	IPI00376104
NX_A6NMK8 	IPI00743011
NX_A6NML5 	IPI00743605
NX_A6NMN3 	IPI00329168
NX_A6NMS3 	IPI00470613
NX_A6NMS7 	IPI00747934
NX_A6NMT0 	IPI00027329
NX_A6NMU1 	IPI00465221
NX_A6NMX2 	IPI00852709
NX_A6NMY6 	IPI00334627
NX_A6NMZ2 	IPI00218583
NX_A6NMZ5 	IPI00253464
NX_A6NMZ7 	IPI00856012
NX_A6NMZ7 	IPI00878721
NX_A6NN06 	IPI00746098
NX_A6NN14 	IPI00645478
NX_A6NN73 	IPI01012395
NX_A6NN90 	IPI00920959
NX_A6NN92 	IPI00743528
NX_A6NNA2 	IPI00936667
NX_A6NNA5 	IPI00060044
NX_A6NNB3 	IPI00375820
NX_A6NNC1 	IPI00455646
NX_A6NND4 	IPI00465223
NX_A6NNE9 	IPI00855850
NX_A6NNE9 	IPI00895796
NX_A6NNF4 	IPI00477845
NX_A6NNF4 	IPI00887732
NX_A6NNH2 	IPI00871753
NX_A6NNJ1 	IPI00455823
NX_A6NNL0 	IPI00785017
NX_A6NNL0 	IPI00854814
NX_A6NNL5 	IPI00921537
NX_A6NNM3 	IPI00033009
NX_A6NNM8 	IPI00641687
NX_A6NNM8 	IPI00887626
NX_A6NNN8 	IPI00094624
NX_A6NNP5 	IPI00402448
NX_A6NNP5 	IPI00418385
NX_A6NNP5 	IPI00921577
NX_A6NNP5 	IPI00922530
NX_A6NNP5 	IPI00973539
NX_A6NNS2 	IPI00163114
NX_A6NNT2 	IPI00940746
NX_A6NNV3 	IPI00414218
NX_A6NNW6 	IPI00888542
NX_A6NNW6 	IPI00953311
